0.115499	0.220374	0.151515	0.15633	0.0438677	0.0182414	
0.118464	0.221753	0.159322	0.160799	0.0448509	0.0183876	
0.121431	0.223253	0.167126	0.16563	0.0457935	0.0182056	
0.12449	0.224867	0.174806	0.170592	0.0467318	0.01803	
0.127484	0.226287	0.182609	0.174848	0.0478077	0.0185074	
0.13048	0.227803	0.190311	0.179806	0.0489145	0.0183328	
0.133582	0.22934	0.198139	0.184609	0.0498965	0.0184417	
0.136596	0.230928	0.205789	0.190465	0.0510247	0.017424	
0.139638	0.232334	0.213551	0.196344	0.052201	0.0164523	
0.142775	0.233888	0.221284	0.199678	0.0532836	0.0180899	
0.145839	0.235365	0.229	0.20583	0.0544401	0.016986	
0.148998	0.236957	0.236595	0.210536	0.0555668	0.0173376	
0.152086	0.238468	0.244178	0.216162	0.0568313	0.0167707	
0.155192	0.239952	0.251818	0.220443	0.0580396	0.0175629	
0.158304	0.241492	0.259277	0.226282	0.0593383	0.0168632	
0.161542	0.242904	0.26692	0.229625	0.0605014	0.0187763	
0.16468	0.244469	0.27426	0.234848	0.0618373	0.0187482	
0.167765	0.245866	0.281837	0.241163	0.0630577	0.0176637	
0.170932	0.247406	0.288984	0.245018	0.0644878	0.0190946	
0.174138	0.248843	0.296427	0.25014	0.0657016	0.0193018	
0.177261	0.250256	0.303649	0.255477	0.067099	0.0192203	
0.180391	0.251708	0.310709	0.26	0.0685795	0.0200652	
0.183546	0.253127	0.317838	0.26499	0.0699639	0.0204486	
0.186726	0.254465	0.324958	0.269932	0.0712932	0.0208968	
0.189915	0.255785	0.331848	0.273792	0.0728393	0.022497	
0.193021	0.257162	0.338692	0.278453	0.0743138	0.0232577	
0.196154	0.25845	0.345536	0.283925	0.0757614	0.0232113	
0.199278	0.259878	0.352086	0.288426	0.0773437	0.0242363	
0.202448	0.261096	0.35879	0.29269	0.0787909	0.0254826	
0.205517	0.262368	0.365166	0.297431	0.0804132	0.0262557	
0.208615	0.263596	0.371625	0.302335	0.0819497	0.0269118	
0.211722	0.264779	0.37788	0.306362	0.0835477	0.028385	
0.214839	0.265971	0.384005	0.310673	0.0852236	0.0296819	
0.217873	0.267144	0.390035	0.315157	0.0868568	0.0307558	
0.220938	0.268146	0.396021	0.319362	0.0885327	0.0321466	
0.223991	0.269259	0.401738	0.323302	0.0903027	0.0338707	
0.226983	0.27023	0.407519	0.327996	0.0919944	0.0347117	
0.229963	0.271308	0.413036	0.332104	0.0936593	0.0361807	
0.232953	0.272311	0.418377	0.336544	0.0954861	0.0374517	
